event_id,place,,,status,,lane_bow,club,,,,,crew,,,rower,,,,penalty,penalty_desc,,time_official,delta,,,percent,,split1,,,cum1,,,split2,,cum2,,split3,cum3,,splitF,cum4
48,11,,,Finished,,25,Stanford University Mens Crew,,,,,,1176.001773,,,,,,,,,14:53.286,34.32,,,0.04,,3:23.394,,,3:23.394,,,4:47.536,,8:10.930,,4:15.074,12:26.004,,2:27.282,14:53.286
48,12,,,Finished,,12,Boston University Mens Crew,,,,,,1176.000235,,2 - M. Ponsen,,,,,,,14:54.596,35.63,,,0.0415,,3:28.472,,,3:28.472,,,4:45.626,,8:14.098,,4:15.683,12:29.781,,2:24.815,14:54.596
48,13,,,Finished,,10,California Rowing Club,,,,,,1176.000416,,I. Siveira,,,,,,,14:55.798,36.83,,,0.0429,,3:28.464,,,3:28.464,,,4:43.180,,8:11.644,,4:16.176,12:27.820,,2:27.978,14:55.798
48,14,,,Finished,,13,University Of Pennsylvania Crew,,,,,,1176.002033,,,,,,,,,14:56.665,37.70,,,0.0439,,3:28.680,,,3:28.680,,,4:47.047,,8:15.727,,4:17.987,12:33.714,,2:22.951,14:56.665
48,15,,,Finished,,21,Michigan Rowing Association,,,,,,1176.001054,,A. Brown,,,,,,,14:56.858,37.89,,,0.0441,,3:33.482,,,3:33.482,,,4:48.392,,8:21.874,,4:10.124,12:31.998,,2:24.860,14:56.858
48,16,,,Finished,,27,Princeton University,,,,,,1176.001408,,2 - J. Naylor,,,,,,,14:57.303,38.33,,,0.0446,,3:27.615,,,3:27.615,,,4:50.130,,8:17.745,,4:13.536,12:31.281,,2:26.022,14:57.303
48,17,,,Finished,,11,U.s. Naval Academy Mens Crew,,,,,,1176.001915,,T. Tracey,,,,,,,15:03.338,44.37,,,0.0517,,3:29.288,,,3:29.288,,,4:48.924,,8:18.212,,4:18.030,12:36.242,,2:27.096,15:03.338
48,18,,,Finished,,15,Georgetown University,,,,,,1176.000765,,B. Renslo,,,,,,,15:09.943,50.97,,,0.0593,,3:29.422,,,3:29.422,,,4:52.873,,8:22.295,,4:21.282,12:43.577,,2:26.366,15:09.943
48,19,,,Finished,,14,Drexel University,,,,,,1176.000597,,M. Sum,,,,,,,15:10.932,51.96,,,0.0605,,3:30.191,,,3:30.191,,,4:52.305,,8:22.496,,4:20.304,12:42.800,,2:28.132,15:10.932
48,20,,,Finished,,16,Dartmouth College,,,,,,1176.000561,,,,,,,,,15:15.634,56.66,,,0.066,,3:28.751,,,3:28.751,,,4:54.403,,8:23.154,,4:20.691,12:43.845,,2:31.789,15:15.634
48,21,,,Finished,,22,Rthc Bayer Leverkusen E.v. Ruderabteilung,,,,,,1176.001489,,K. Felix,,,,,,,15:15.934,56.96,,,0.0663,,3:29.884,,,3:29.884,,,4:57.686,,8:27.570,,4:20.043,12:47.613,,2:28.321,15:15.934
48,22,,,Finished,,20,Thames Rowing Club,,,,,,1176.001815,,S. Challen,,,,,,,15:23.845,1:04.88,,,0.0755,,3:34.185,,,3:34.185,,,4:55.594,,8:29.779,,4:24.664,12:54.443,,2:29.402,15:23.845
48,23,,,Finished,,23,A.u.s.r. Orca,,,,,,1176.000056,,D. Smits,,,,,,,15:30.242,1:11.27,,,0.083,,3:28.668,,,3:28.668,,,5:02.266,,8:30.934,,4:21.613,12:52.547,,2:37.695,15:30.242
48,24,,,Finished,,17,Yale University Crew,,,,,,1176.002236,,2 - A. Smith,,,,,,,15:32.505,1:13.54,,,0.0856,,3:32.890,,,3:32.890,,,4:55.913,,8:28.803,,4:30.215,12:59.018,,2:33.487,15:32.505
48,25,,,Finished,,2,Usrowing,,,,,,1176.002077,,,,,,1:00,11-IN,,15:48.725,1:29.76,,,0.1045,,3:26.862,,,3:26.862,,,4:45.031,,8:11.893,,4:06.694,12:18.587,,2:30.138,14:48.725
48,26,,,Finished,,24,"Christ Church Boat Club, Oxford University",,,,,,1176.000343,,J. O'Connor,,,,,,,15:50.034,1:31.06,,,0.106,,3:39.058,,,3:39.058,,,5:05.888,,8:44.946,,4:32.250,13:17.196,,2:32.838,15:50.034
48,0,,,DNS,,26,Vesper Boat Club,,,,,,1176.002109,,J. Spencer,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
